# wavenumber (k), Specular Transmittance [-]
 57.61279000,  0.96191000
 57.85385000,  0.95884000
 58.09491000,  0.95577000
 58.33597000,  0.95271000
 58.57703000,  0.94974000
 58.81808000,  0.94686000
 59.05914000,  0.94405000
 59.30020000,  0.94143000
 59.54126000,  0.93908000
 59.78231000,  0.93697000
 60.02337000,  0.93512000
 60.26443000,  0.93347000
 60.50549000,  0.93198000
 60.74654000,  0.93074000
 60.98760000,  0.92977000
 61.22866000,  0.92918000
 61.46972000,  0.92908000
 61.71078000,  0.92942000
 61.95183000,  0.93027000
 62.19289000,  0.93147000
 62.43395000,  0.93290000
 62.67501000,  0.93454000
 62.91606000,  0.93633000
 63.15712000,  0.93833000
 63.39818000,  0.94062000
 63.63924000,  0.94304000
 63.88030000,  0.94550000
 64.12135000,  0.94789000
 64.36241000,  0.95006000
 64.60347000,  0.95211000
 64.84453000,  0.95408000
 65.08558000,  0.95592000
 65.32664000,  0.95765000
 65.56770000,  0.95917000
 65.80876000,  0.96040000
 66.04981000,  0.96134000
 66.29087000,  0.96199000
 66.53193000,  0.96235000
 66.77299000,  0.96243000
 67.01405000,  0.96219000
 67.25510000,  0.96160000
 67.49616000,  0.96063000
 67.73722000,  0.95922000
 67.97828000,  0.95743000
 68.21933000,  0.95526000
 68.46039000,  0.95282000
 68.70145000,  0.95021000
 68.94251000,  0.94745000
 69.18357000,  0.94459000
 69.42462000,  0.94163000
 69.66568000,  0.93858000
 69.90674000,  0.93554000
 70.14780000,  0.93260000
 70.38885000,  0.92981000
 70.62991000,  0.92725000
 70.87097000,  0.92494000
 71.11203000,  0.92293000
 71.35308000,  0.92128000
 71.59414000,  0.92008000
 71.83520000,  0.91925000
 72.07626000,  0.91876000
 72.31732000,  0.91856000
 72.55837000,  0.91854000
 72.79943000,  0.91878000
 73.04049000,  0.91931000
 73.28155000,  0.92012000
 73.52260000,  0.92123000
 73.76366000,  0.92254000
 74.00472000,  0.92392000
 74.24578000,  0.92543000
 74.48683000,  0.92705000
 74.72789000,  0.92885000
 74.96895000,  0.93097000
 75.21001000,  0.93319000
 75.45107000,  0.93536000
 75.69212000,  0.93736000
 75.93318000,  0.93898000
 76.17424000,  0.94036000
 76.41530000,  0.94163000
 76.65635000,  0.94275000
 76.89741000,  0.94375000
 77.13847000,  0.94451000
 77.37953000,  0.94494000
 77.62059000,  0.94505000
 77.86164000,  0.94482000
 78.10270000,  0.94423000
 78.34376000,  0.94326000
 78.58482000,  0.94198000
 78.82587000,  0.94045000
 79.06693000,  0.93869000
 79.30799000,  0.93679000
 79.54905000,  0.93462000
 79.79010000,  0.93209000
 80.03116000,  0.92928000
 80.27222000,  0.92619000
 80.51328000,  0.92302000
 80.75434000,  0.91994000
 80.99539000,  0.91699000
 81.23645000,  0.91430000
 81.47751000,  0.91184000
 81.71857000,  0.90965000
 81.95962000,  0.90762000
 82.20068000,  0.90563000
 82.44174000,  0.90373000
 82.68280000,  0.90187000
 82.92385000,  0.90023000
 83.16491000,  0.89898000
 83.40597000,  0.89812000
 83.64703000,  0.89776000
 83.88809000,  0.89777000
 84.12914000,  0.89811000
 84.37020000,  0.89872000
 84.61126000,  0.89955000
